,city,country,pop2023,latitude,longitude,fill
144,Penticton,Canada,33761,49.4806,-119.586,
145,Campbell River,Canada,33430,50.0163,-125.245,
146,West Humber-Clairville,Canada,33312,43.7162,-79.5964,
147,Mission,Canada,33261,49.133,-122.303,
148,Leamington,Canada,32991,42.0501,-82.5998,
149,Mount Olive-Silverstone-Jamestown,Canada,32954,43.7469,-79.5873,
150,Stratford,Canada,31465,43.3668,-80.9497,
151,Lloydminster,Canada,31400,53.2724,-110.023,
152,Cote-Saint-Luc,Canada,31395,45.4654,-73.6658,
153,Church-Yonge Corridor,Canada,31340,43.6596,-79.379,
154,Niagara,Canada,31180,43.6446,-79.4071,
155,Saint-Georges,Canada,31173,46.1135,-70.6653,
156,Orillia,Canada,31166,44.6087,-79.4207,
157,Orangeville,Canada,30734,43.9168,-80.0997,
158,Fort Erie,Canada,30710,42.9001,-78.9329,
159,Annex,Canada,30526,43.6716,-79.404,
160,Glenfield-Jane Heights,Canada,30491,43.7456,-79.5135,
161,Pointe-Claire,Canada,30161,45.4487,-73.8167,
162,Bendale,Canada,29960,43.7668,-79.2533,
163,North Cowichan,Canada,29676,48.8413,-123.686,
164,Mount Pleasant West,Canada,29658,43.7044,-79.3934,
165,Alma,Canada,29526,48.5501,-71.6491,
166,Agincourt North,Canada,29113,43.8042,-79.2753,
167,Sainte-Julie,Canada,29019,45.5834,-73.3325,
168,West Kelowna,Canada,28793,49.8625,-119.583,
169,Sept-Iles,Canada,28534,50.2001,-66.3821,
170,Wexford/Maryvale,Canada,27917,43.7486,-79.2986,
171,South Riverdale,Canada,27876,43.6493,-79.3356,
172,Banbury-Don Mills,Canada,27695,43.7377,-79.3497,
173,York University Heights,Canada,27593,43.7657,-79.4889,
174,Port Moody,Canada,27512,49.2812,-122.825,
175,Tam O'Shanter-Sullivan,Canada,27446,43.7798,-79.295,
176,West Hill,Canada,27392,43.7674,-79.1795,
177,Saint-Constant,Canada,27359,45.3668,-73.5659,
178,Grimsby,Canada,27314,43.2001,-79.5663,
179,Dieppe,Canada,27304,46.0784,-64.6873,
180,Don Valley Village,Canada,27051,43.7833,-79.3536,
181,Clairlea-Birchmount,Canada,26984,43.7136,-79.2814,
182,Milliken,Canada,26572,43.825,-79.2987,
183,Boisbriand,Canada,26483,45.6168,-73.8325,
184,Westminster-Branson,Canada,26274,43.7788,-79.4524,
185,Cochrane,Canada,25853,51.1834,-114.469,
186,Bay Street Corridor,Canada,25797,43.6575,-79.3857,
187,Vaudreuil-Dorion,Canada,25789,45.4001,-74.0325,
188,Thetford-Mines,Canada,25704,46.0937,-71.3054,
189,Walnut Grove,Canada,25683,49.1647,-122.64,
190,Courtenay,Canada,25599,49.6866,-124.994,
191,Val-d'Or,Canada,25541,48.0974,-77.7974,
192,Prince Edward,Canada,25496,44.0001,-77.2495,
193,Sainte-Therese,Canada,25224,45.6392,-73.8276,
194,Stonegate-Queensway,Canada,25051,43.6355,-79.5011,
195,Dorset Park,Canada,25003,43.7539,-79.2822,
196,Fallingbrook,Canada,25000,45.4756,-75.484,
197,Airdrie,Canada,24673,51.3001,-114.035,
198,Steeles,Canada,24623,43.812,-79.3308,
199,Saint-Bruno-de-Montarville,Canada,24388,45.5334,-73.3492,
200,Midland,Canada,24353,44.7501,-79.883,
201,East Gwillimbury,Canada,23991,44.1009,-79.4379,
202,High Park-Swansea,Canada,23925,43.6451,-79.4679,
203,Brockville,Canada,23886,44.5913,-75.687,
204,Newtonbrook West,Canada,23831,43.7858,-79.4314,
205,Agincourt South-Malvern West,Canada,23757,43.7887,-79.2656,
206,Langley,Canada,23606,49.1011,-122.659,
207,Rouyn-Noranda,Canada,23504,48.2366,-79.0231,
208,La Prairie,Canada,23357,45.4168,-73.4992,
209,Whitehorse,Canada,23272,60.7161,-135.054,
210,Bedford Park-Nortown,Canada,23236,43.7315,-79.4202,
211,Tecumseh,Canada,23229,42.3168,-82.8998,
212,Mount Pearl,Canada,23120,47.5166,-52.7813,
213,Eglinton East,Canada,22776,43.7392,-79.2458,
214,Chambly,Canada,22608,45.4501,-73.2825,
215,Englemount-Lawrence,Canada,22372,43.7203,-79.4374,
216,Birchcliffe-Cliffside,Canada,22291,43.6947,-79.2651,
217,Rockcliffe-Smythe,Canada,22246,43.6748,-79.4944,
218,Duncan,Canada,22199,48.7829,-123.703,
219,High Park North,Canada,22162,43.6563,-79.4745,
220,Willowridge-Martingrove-Richview,Canada,22156,43.6836,-79.5542,
